pop,scenario,date,covid_region,persons_above65_first_vaccinated_perc
219816,continued_trend,2021-04-13,2,0.673061675244802
219816,continued_trend,2021-04-14,2,0.680191403518753
219816,continued_trend,2021-04-15,2,0.687321131792704
219816,continued_trend,2021-04-16,2,0.694450860066655
219816,continued_trend,2021-04-17,2,0.701580588340589
219816,continued_trend,2021-04-18,2,0.70871031661454
219816,continued_trend,2021-04-19,2,0.715840044888491
219816,continued_trend,2021-04-20,2,0.722969773162442
219816,continued_trend,2021-04-21,2,0.730099501436393
219816,continued_trend,2021-04-22,2,0.737229229710327
219816,continued_trend,2021-04-23,2,0.744358957984278
219816,continued_trend,2021-04-24,2,0.751488686258229
219816,continued_trend,2021-04-25,2,0.75861841453218
219816,continued_trend,2021-04-26,2,0.765748142806131
219816,continued_trend,2021-04-27,2,0.772877871080065
219816,continued_trend,2021-04-28,2,0.780007599354016
219816,continued_trend,2021-04-29,2,0.787137327627967
219816,continued_trend,2021-04-30,2,0.794267055901918
219816,continued_trend,2021-05-01,2,0.801396784175869
219816,continued_trend,2021-05-02,2,0.808526512449804
219816,continued_trend,2021-05-03,2,0.815656240723755
219816,continued_trend,2021-05-04,2,0.822785968997706
219816,continued_trend,2021-05-05,2,0.829915697271657
219816,continued_trend,2021-05-06,2,0.837045425545608
219816,continued_trend,2021-05-07,2,0.844175153819542
219816,continued_trend,2021-05-08,2,0.851304882093493
219816,continued_trend,2021-05-09,2,0.858434610367444
219816,continued_trend,2021-05-10,2,0.865564338641395
219816,continued_trend,2021-05-11,2,0.872694066915346
219816,continued_trend,2021-05-12,2,0.87982379518928
219816,continued_trend,2021-05-13,2,0.886953523463231
219816,continued_trend,2021-05-14,2,0.894083251737182
219816,continued_trend,2021-05-15,2,0.901212980011133
219816,continued_trend,2021-05-16,2,0.908342708285084
219816,continued_trend,2021-05-17,2,0.915472436559018
219816,continued_trend,2021-05-18,2,0.922602164832969
219816,continued_trend,2021-05-19,2,0.92973189310692
219816,continued_trend,2021-05-20,2,0.936861621380871
219816,continued_trend,2021-05-21,2,0.943991349654822
219816,continued_trend,2021-05-22,2,0.951121077928756
219816,continued_trend,2021-05-23,2,0.958250806202707
219816,continued_trend,2021-05-24,2,0.965380534476658
219816,continued_trend,2021-05-25,2,0.972510262750609
219816,continued_trend,2021-05-26,2,0.97963999102456
219816,continued_trend,2021-05-27,2,0.986769719298494
219816,continued_trend,2021-05-28,2,0.993899447572445
219816,continued_trend,2021-05-29,2,1
109686,continued_trend,2021-01-10,3,0.173808910238017
109686,continued_trend,2021-01-11,3,0.179140466949858
109686,continued_trend,2021-01-12,3,0.1844720236617
109686,continued_trend,2021-01-13,3,0.189803580373542
109686,continued_trend,2021-01-14,3,0.195135137085383
109686,continued_trend,2021-01-15,3,0.200466693797225
109686,continued_trend,2021-01-16,3,0.205798250509067
109686,continued_trend,2021-01-17,3,0.211129807220909
109686,continued_trend,2021-01-18,3,0.216461363932767
109686,continued_trend,2021-01-19,3,0.221792920644609
109686,continued_trend,2021-01-20,3,0.227124477356451
109686,continued_trend,2021-01-21,3,0.232456034068292
109686,continued_trend,2021-01-22,3,0.237787590780134
109686,continued_trend,2021-01-23,3,0.243119147491976
109686,continued_trend,2021-01-24,3,0.248450704203817
109686,continued_trend,2021-01-25,3,0.253782260915659
109686,continued_trend,2021-01-26,3,0.259113817627501
109686,continued_trend,2021-01-27,3,0.264445374339343
109686,continued_trend,2021-01-28,3,0.269776931051201
109686,continued_trend,2021-01-29,3,0.275108487763043
109686,continued_trend,2021-01-30,3,0.280440044474885
109686,continued_trend,2021-01-31,3,0.285771601186726
109686,continued_trend,2021-02-01,3,0.291103157898568
109686,continued_trend,2021-02-02,3,0.29643471461041
109686,continued_trend,2021-02-03,3,0.301766271322251
109686,continued_trend,2021-02-04,3,0.307097828034093
109686,continued_trend,2021-02-05,3,0.312429384745935
109686,continued_trend,2021-02-06,3,0.317760941457777
109686,continued_trend,2021-02-07,3,0.323092498169618
109686,continued_trend,2021-02-08,3,0.328424054881477
109686,continued_trend,2021-02-09,3,0.333755611593319
109686,continued_trend,2021-02-10,3,0.33908716830516
109686,continued_trend,2021-02-11,3,0.344418725017002
109686,continued_trend,2021-02-12,3,0.349750281728844
109686,continued_trend,2021-02-13,3,0.355081838440686
109686,continued_trend,2021-02-14,3,0.360413395152527
109686,continued_trend,2021-02-15,3,0.365744951864369
