date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2021-07-04,339650.363482982,predicted,6,continued_trend,739098,339650.363482982,0.459547128368609,399447.636517018,2046.67146474868,0.00512375409852121,2021-10-10,0.730923594743877
2021-07-05,341697.034947723,predicted,6,continued_trend,739098,341697.034947723,0.462316275984678,397400.965052277,2046.67146474123,0.00515014216050532,2021-10-10,0.730923594743877
2021-07-06,343743.706412472,predicted,6,continued_trend,739098,343743.706412472,0.465085423600756,395354.293587528,2046.67146474868,0.00517680343414701,2021-10-10,0.730923594743877
2021-07-07,345790.377877213,predicted,6,continued_trend,739098,345790.377877213,0.467854571216825,393307.622122787,2046.67146474123,0.0052037421845394,2021-10-10,0.730923594743877
2021-07-08,347837.049341962,predicted,6,continued_trend,739098,347837.049341962,0.470623718832904,391260.950658038,2046.67146474868,0.00523096276617052,2021-10-10,0.730923594743877
2021-07-09,349883.720806703,predicted,6,continued_trend,739098,349883.720806703,0.473392866448973,389214.279193297,2046.67146474123,0.00525846962496662,2021-10-10,0.730923594743877
2021-07-10,351930.392271452,predicted,6,continued_trend,739098,351930.392271452,0.476162014065052,387167.607728548,2046.67146474868,0.00528626730101772,2021-10-10,0.730923594743877
2021-07-11,353977.063736193,predicted,6,continued_trend,739098,353977.063736193,0.478931161681121,385120.936263807,2046.67146474123,0.00531436043076937,2021-10-10,0.730923594743877
2021-07-12,356023.735200942,predicted,6,continued_trend,739098,356023.735200942,0.4817003092972,383074.264799058,2046.67146474868,0.00534275374990868,2021-10-10,0.730923594743877
2021-07-13,358070.406665683,predicted,6,continued_trend,739098,358070.406665683,0.484469456913268,381027.593334317,2046.67146474123,0.00537145209571597,2021-10-10,0.730923594743877
2021-07-14,360117.078130432,predicted,6,continued_trend,739098,360117.078130432,0.487238604529347,378980.921869569,2046.67146474868,0.00540046041012342,2021-10-10,0.730923594743877
2021-07-15,362163.749595173,predicted,6,continued_trend,739098,362163.749595173,0.490007752145416,376934.250404827,2046.67146474123,0.00542978374223914,2021-10-10,0.730923594743877
2021-07-16,364210.421059921,predicted,6,continued_trend,739098,364210.421059921,0.492776899761495,374887.578940079,2046.67146474868,0.00545942725159165,2021-10-10,0.730923594743877
