covid_region,pop,scenario,date,persons_first_vaccinated,model,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc,date_ceiling,persons_first_vaccinated_perc_ceiling
2,1243906,trend_past30days,2021-09-07,637110.219758064,predicted,637110.219758064,0.512185181000866,606795.780241937,1566.88911290467,0.0025822346890414,,
2,1243906,trend_past30days,2021-09-08,638677.108870968,predicted,638677.108870968,0.513444833348314,605228.891129032,1566.88911290467,0.00258891988778278,,
2,1243906,trend_past30days,2021-09-09,640243.997983869,predicted,640243.997983869,0.514704485695759,603662.002016131,1566.88911290094,0.0025956397912537,,
2,1243906,trend_past30days,2021-09-10,641810.887096774,predicted,641810.887096774,0.515964138043207,602095.112903226,1566.88911290467,0.00260239467041898,,
2,1243906,trend_past30days,2021-09-11,643377.776209675,predicted,643377.776209675,0.517223790390652,600528.223790325,1566.88911290094,0.0026091847990279,,
2,1243906,trend_past30days,2021-09-12,644944.66532258,predicted,644944.66532258,0.5184834427381,598961.334677421,1566.88911290467,0.00261601045374413,,
2,1243906,trend_past30days,2021-09-13,646511.554435484,predicted,646511.554435484,0.519743095085548,597394.445564516,1566.88911290467,0.00262287191409022,,
2,1243906,trend_past30days,2021-09-14,648078.443548385,predicted,648078.443548385,0.521002747432993,595827.556451615,1566.88911290094,0.00262976946254782,,
2,1243906,trend_past30days,2021-09-15,649645.33266129,predicted,649645.33266129,0.522262399780441,594260.66733871,1566.88911290467,0.00263670338459669,,
2,1243906,trend_past30days,2021-09-16,651212.221774194,predicted,651212.221774194,0.523522052127889,592693.778225806,1566.88911290467,0.00264367396869773,,
2,1243906,trend_past30days,2021-09-17,652779.110887095,predicted,652779.110887095,0.524781704475335,591126.889112905,1566.88911290094,0.00265068150638918,,
2,1243906,trend_past30days,2021-09-18,654346,predicted,654346,0.526041356822782,589560,1566.88911290467,0.00265772629232761,,
2,1243906,trend_past30days,2021-09-19,655912.889112901,predicted,655912.889112901,0.527301009170228,587993.110887099,1566.88911290094,0.00266480862426601,,
2,1243906,trend_past30days,2021-09-20,657479.778225806,predicted,657479.778225806,0.528560661517675,586426.221774195,1566.88911290467,0.00267192880319053,,
2,1243906,trend_past30days,2021-09-21,659046.66733871,predicted,659046.66733871,0.529820313865124,584859.33266129,1566.88911290467,0.00267908713326817,,
2,1243906,trend_past30days,2021-09-22,660613.556451611,predicted,660613.556451611,0.531079966212569,583292.443548389,1566.88911290094,0.00268628392195339,,
2,1243906,trend_past30days,2021-09-23,662180.445564516,predicted,662180.445564516,0.532339618560017,581725.554435484,1566.88911290467,0.00269351948003247,,
2,1243906,trend_past30days,2021-09-24,663747.334677417,predicted,663747.334677417,0.533599270907462,580158.665322583,1566.88911290094,0.00270079412160415,,
2,1243906,trend_past30days,2021-09-25,665314.223790322,predicted,665314.223790322,0.53485892325491,578591.776209679,1566.88911290467,0.00270810816422119,,
