FrameworkVersion,"1.0.176.23","clorton (CMS/Main/framework)"
symptomatic{9},0,0,0,0,0,0,0,1,3,7,7,11,15,16,27,35,45,49,68,71,98,118,142,183,234,321,417,576,754,928,1150,1524,1919,2447,3056,3848,4812,5956,7264,8791,10380,11821,13560,14976,16290,17150,17698,17790,17607,16945,16134,14986,13592,12364,11011,9945,8988,7870,6813,5993
hospitalized{0},0,0,0,0,1,2,2,2,0,0,2,4,1,4,6,4,11,12,15,16,30,41,52,62,92,97,124,168,216,273,368,453,576,794,943,1137,1389,1755,2072,2457,2923,3321,3642,3952,4270,4296,4314,4314,4300,4066,3639,3482,3066,2726,2497,2188,1983,1685,1478,1268
hospitalized{1},0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2,1,4,2,8,4,7,8,17,12,27,35,48,51,77,81,109,155,178,233,308,422,541,630,827,1088,1314,1545,1895,2168,2617,3061,3406,3651,4119,4310,4390,4337,4155,4258,3926,3580,3409,2961
hospitalized{2},0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,8,7,6,8,10,16,17,17,33,40,62,73,98,121,142,217,264,312,428,559,677,856,1080,1285,1661,2024,2325,2705,3194,3434,3807,4053,4357,4237,4358,4317,4126,3930,3541,3262,2936,2673,2368,2067
hospitalized{3},0,0,0,0,0,2,0,1,3,1,2,3,1,7,9,6,8,10,29,29,36,44,53,68,112,139,146,199,292,350,445,568,696,868,1080,1441,1674,1991,2395,2786,3240,3555,3947,4231,4493,4382,4370,4134,4078,3768,3498,3282,2893,2629,2316,2020,1748,1561,1285,1116
hospitalized{4},0,0,0,0,0,0,0,1,0,0,0,1,2,4,3,4,6,4,5,2,6,10,18,16,14,29,23,48,64,68,98,122,169,188,233,326,412,515,667,827,1061,1321,1565,1847,2232,2805,3131,3477,3881,4076,4175,4358,4366,4333,4036,3774,3617,3359,2978,2601
hospitalized{5},0,0,0,0,0,0,2,1,0,0,0,2,2,5,6,3,5,6,3,17,17,25,29,34,49,54,82,89,115,149,164,252,310,397,533,624,835,1041,1217,1573,1805,2224,2636,2967,3443,3715,3984,4283,4432,4398,4260,4119,3986,3638,3397,3076,2731,2398,2057,1760
hospitalized{6},0,0,0,0,1,1,0,2,2,3,2,2,2,6,5,12,15,20,36,42,41,46,70,110,132,143,196,256,316,430,545,640,822,976,1244,1553,1926,2240,2711,3013,3327,3846,4139,4251,4451,4336,4296,4081,3874,3669,3383,3074,2760,2424,2174,1958,1599,1420,1244,985
hospitalized{7},0,0,0,1,1,0,0,0,1,0,3,2,1,3,3,4,1,6,6,11,15,20,27,32,40,53,55,89,117,138,177,209,244,400,480,598,744,1013,1263,1540,1773,2100,2608,3070,3385,3635,3982,4208,4431,4448,4377,4240,3999,3801,3494,3143,2819,2410,2176,1850
hospitalized{8},0,0,0,0,0,0,0,0,1,2,1,5,3,0,2,0,0,4,3,0,2,6,3,9,16,10,13,14,18,32,42,57,63,77,86,126,183,205,297,361,473,503,714,902,1183,1417,1721,2045,2441,2845,3309,3654,4081,4211,4365,4423,4338,4238,4088,3857
hospitalized{9},0,0,1,0,0,0,0,1,0,0,3,0,2,4,4,4,6,15,13,19,22,35,33,47,50,75,93,119,158,204,269,326,437,531,627,785,1055,1272,1688,2045,2350,2697,3069,3515,3870,4087,4227,4278,4416,4194,4006,3836,3570,3229,2944,2601,2260,2064,1888,1581
critical{0},0,0,1,2,1,1,0,2,4,4,7,8,15,18,24,29,40,61,71,99,131,175,230,290,381,488,607,757,972,1279,1626,2031,2663,3405,4357,5470,6882,8544,10587,12907,15534,18735,22048,25519,29066,32428,35499,38326,40572,42462,43900,44458,44475,44056,43257,42044,40484,38743,36819,34693
critical{1},0,0,0,0,0,0,0,0,0,0,1,3,3,4,9,10,11,13,15,24,29,36,42,57,69,88,101,138,175,223,272,367,468,614,784,1015,1299,1675,2219,2910,3655,4687,6026,7604,9426,11550,13965,16787,20040,23441,26901,30389,33758,36746,39422,41425,43099,44197,44600,44564
critical{2},0,0,0,0,1,1,0,1,2,3,2,3,4,7,8,14,18,27,32,38,45,55,83,107,132,171,216,294,387,531,687,867,1146,1500,1900,2437,3083,3905,4943,6217,7765,9686,11899,14471,17342,20600,23867,27224,30685,33956,36835,39470,41544,43019,43970,44438,44468,43988,42960,41541
critical{3},0,0,0,0,1,2,3,5,9,14,13,16,15,18,28,47,58,71,87,113,152,194,242,306,407,532,712,910,1184,1550,2000,2529,3231,4061,5182,6454,8141,10062,12284,14889,17897,21164,24504,28096,31534,34889,37693,40159,41975,43474,44327,44501,44229,43540,42502,41162,39461,37514,35620,33620
critical{4},0,0,0,0,1,1,1,1,1,2,3,4,4,8,9,10,15,22,33,39,39,40,51,66,80,114,152,172,226,310,384,485,643,822,1083,1415,1793,2314,2991,3833,4856,6179,7800,9622,11710,14168,17095,20244,23576,27198,30469,33776,36798,39398,41480,43048,43902,44295,44191,43754
critical{5},0,0,0,0,0,0,0,2,4,4,6,6,10,13,16,25,34,42,47,50,66,94,132,155,205,268,326,429,541,680,865,1078,1410,1788,2277,2950,3705,4690,6047,7461,9302,11357,13750,16640,19712,23160,26666,30050,33293,36415,39250,41326,43043,44192,44672,44703,44175,43318,41993,40384
critical{6},0,0,0,0,0,0,2,2,5,6,8,9,13,12,27,34,51,74,102,149,202,244,310,402,519,667,836,1088,1407,1810,2346,3017,3835,4912,6045,7555,9289,11456,13866,16745,19813,23193,26584,30207,33563,36657,39343,41423,43012,44020,44487,44339,43770,42855,41776,40249,38473,36485,34386,32384
critical{7},0,0,0,0,0,2,5,4,7,9,8,7,7,7,10,16,20,21,25,37,52,64,94,131,176,238,307,389,517,658,831,1061,1343,1649,2124,2748,3500,4386,5691,7198,8980,11132,13503,16162,19324,22577,25899,29407,32836,35953,38615,40872,42698,43913,44505,44563,44205,43447,42122,40596
critical{8},0,0,0,0,0,0,1,2,2,3,5,6,8,13,13,15,11,12,13,13,15,15,21,25,34,53,71,91,121,128,169,236,290,362,461,576,732,948,1207,1563,2016,2564,3214,4126,5219,6656,8284,10307,12784,15440,18409,21645,25146,28799,32077,35356,38173,40442,42097,43341
critical{9},0,0,0,1,1,1,1,1,2,1,2,6,9,14,19,24,31,35,55,78,88,124,155,197,256,321,421,536,707,923,1206,1515,1907,2441,3133,3963,4965,6276,7817,9723,12045,14656,17535,20669,23995,27458,30866,34099,36792,39577,41594,43126,44169,44752,44377,43770,42743,41443,39815,38006
deaths{0},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,7,8,12,15,20,25,30,36,45,56,64,85,99,122,142,174,202,235,265,293,318,338,367,405,422,453,474,500,524
deaths{1},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,4,4,7,8,10,10,14,18,24,34,42,49,63,73,93,113,137,165,190,222,256,292,325
deaths{2},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,6,9,11,16,20,26,36,47,58,69,77,95,117,138,162,196,229,256,282,324,352,390,422,455
deaths{3},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,5,5,7,9,12,17,21,24,27,33,40,53,69,79,91,109,120,144,169,197,237,276,310,347,389,420,448,482,503,518,539
